launch_index,case_id,scene,data_seed,logical_query_count,oracle_complete,oracle_status,administrative_empty_profile,interface_status,reported_physical_map_json,truth_relative_utility_eligible,bound_validation_included,overlay_possible_set_validation_complete,overlay_possible_set_prefix_count,overlay_possible_set_violation_count,prefix_bound_violation_count,physical_map_imputed,scientific_quantities_imputed,stage_a_controller_A,stage_a_controller_B,stage_a_controller_C,stage_a_controller_D,oracle_A,oracle_B,oracle_C,oracle_D,plugin_A,plugin_B,plugin_C,plugin_D
1,FORMAL_PERSISTENT_ONLY_P01,PERSISTENT_ONLY,2026091001,110,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""ABSTAIN"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""SUPPORT_AMBIGUOUS""}",True,True,True,111,0,0,False,False,ABSTAIN,SECTOR_SAFE,SUPPORT_AMBIGUOUS,SUPPORT_AMBIGUOUS,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,SUPPORT_AMBIGUOUS,FINE,FINE,ABSENT_ABOVE_BETA_MIN,ABSENT_ABOVE_BETA_MIN
2,FORMAL_PERSISTENT_ONLY_P02,PERSISTENT_ONLY,2026091002,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,FINE,ABSENT_ABOVE_BETA_MIN
3,FORMAL_PERSISTENT_ONLY_P03,PERSISTENT_ONLY,2026091003,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,ABSENT_ABOVE_BETA_MIN,ABSENT_ABOVE_BETA_MIN
4,FORMAL_PERSISTENT_ONLY_P04,PERSISTENT_ONLY,2026091004,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,ABSENT_ABOVE_BETA_MIN,ABSENT_ABOVE_BETA_MIN
5,FORMAL_PERSISTENT_ONLY_P05,PERSISTENT_ONLY,2026091005,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,ABSENT_ABOVE_BETA_MIN,ABSENT_ABOVE_BETA_MIN
6,FORMAL_PERSISTENT_ONLY_P06,PERSISTENT_ONLY,2026091006,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,ABSENT_ABOVE_BETA_MIN,ABSENT_ABOVE_BETA_MIN
7,FORMAL_WEAK_C_PRESENT_P01,WEAK_C_PRESENT,2026091011,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,ABSENT_ABOVE_BETA_MIN,ABSENT_ABOVE_BETA_MIN
8,FORMAL_WEAK_C_PRESENT_P02,WEAK_C_PRESENT,2026091012,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,FINE,ABSENT_ABOVE_BETA_MIN
9,FORMAL_WEAK_C_PRESENT_P03,WEAK_C_PRESENT,2026091013,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,ABSENT_ABOVE_BETA_MIN,ABSENT_ABOVE_BETA_MIN
10,FORMAL_WEAK_C_PRESENT_P04,WEAK_C_PRESENT,2026091014,148,True,COMPLETE,False,MAP_AVAILABLE,"{""A"":""FINE"",""B"":""SECTOR_SAFE"",""C"":""SUPPORT_AMBIGUOUS"",""D"":""ABSENT_ABOVE_BETA_MIN""}",True,True,True,149,0,0,False,False,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,SECTOR_SAFE,SUPPORT_AMBIGUOUS,ABSENT_ABOVE_BETA_MIN,FINE,FINE,FINE,ABSENT_ABOVE_BETA_MIN
