macro,canonical_artifact_path,canonical_field_key,rounding_or_format
CanonicalPaperTitle,M0_A_APPROVED/M0_SCIENTIFIC_CLAIM_FREEZE.md,Section 1,exact text
BOneTerminalStatus,b11_global/canonical_summary.json,$.terminal_status,exact
BOneCaseCount,b11_global/canonical_summary.json,$.completed_finite_bank_cases,integer
BOneTraceCount,b11_global/canonical_summary.json,$.sealed_global_controller_traces,integer
BOneHalfAmbiguityRecall,b11_global/canonical_summary.json,$.budget_0_50.ambiguous_recall,exact fraction
BOneThreeQuarterFineRecall,b11_global/canonical_summary.json,$.budget_0_75.fine_recall,exact fraction
BOneThreeQuarterSafeNonambiguous,b11_global/canonical_summary.json,$.budget_0_75.safe_nonambiguous_rate,exact fraction
BOneMedianQueryFraction,b11_global/canonical_summary.json,$.budget_0_50.median_logical_query_fraction,4 decimals
FormalBTwoTerminalStatus,formal_b2/canonical_merged_summary.json,$.terminal_status,exact
FormalBTwoCaseCount,formal_b2/canonical_merged_summary.json,$.formal_case_count,integer
FormalBTwoCompletedOracleCount,formal_b2/canonical_merged_summary.json,$.completed_exact_oracle_count,integer
FormalBTwoEmptyProfileCount,formal_b2/canonical_merged_summary.json,$.administrative_empty_profile_count,integer
FormalBTwoUnsafeOutputs,formal_b2/canonical_merged_summary.json,$.safety.zero_unsafe_outputs,exact fraction
FormalBTwoPossibleSetViolations,formal_b2/canonical_merged_summary.json,$.safety.zero_possible_set_violations,exact fraction
FormalBTwoBoundViolations,formal_b2/canonical_merged_summary.json,$.safety.zero_bound_violations,exact fraction
FormalBTwoFalseDAbsence,formal_b2/canonical_merged_summary.json,$.safety.control_false_D_absence,exact fraction
FormalBTwoMainCoverage,formal_b2/primary_budget_metrics.json,$.coverage.main_oracle_coverage,exact fraction
FormalBTwoAFineRecall,formal_b2/primary_budget_metrics.json,$.utility.controller_A_FINE_recall,exact fraction
FormalBTwoBSectorRecall,formal_b2/primary_budget_metrics.json,$.utility.controller_B_SECTOR_recall,exact fraction
FormalBTwoCAmbiguityRecall,formal_b2/primary_budget_metrics.json,$.utility.controller_C_ambiguity_recall,exact fraction
FormalBTwoDAbsenceRecall,formal_b2/primary_budget_metrics.json,$.utility.controller_D_absence_recall,exact fraction
FormalBTwoPluginBFalseFine,formal_b2/plugin_false_precision_metrics.json,$.metrics.plugin_B_false_FINE,exact fraction
FormalBTwoPluginCFalseCertain,formal_b2/plugin_false_precision_metrics.json,$.metrics.plugin_C_false_certainty,exact fraction
FormalBTwoMedianQueries,formal_b2/primary_budget_metrics.json,$.cost.median_query_fraction,exact fraction
OriginalNumericalStatus,original_numerical/canonical_summary.json,$.status,exact
OriginalJeffreysSlope,original_numerical/canonical_summary.json,$.scaling.jeffreys.slope,4 decimals
OriginalMedianSpread,original_numerical/canonical_summary.json,$.gate_collapse.median_vertical_spread,7 decimals
OriginalMedianSpreadThreshold,original_numerical/canonical_summary.json,$.failed_frozen_criterion.threshold,3 decimals
OriginalPosthocInterpretation,original_numerical/canonical_summary.json,$.posthoc_interpretation,exact
