archive,outer_input_sha256,member_path,member_sha256,role,canonical_consumers
M0_A_APPROVED,,M0_A_APPROVAL_RECORD.md,3a58a141d79b4b5060a3ce05b48e560c32da998f16e6e8a1702b3f9c17e18a73,approved M0-A contract,entire canonical export
M0_A_APPROVED,,M0_CANONICAL_EXPORT_SPEC.md,926c504c1332fd0e79c16f605365e49f6e811ad888c75fc1bbb14d5212faa643,approved M0-A contract,entire canonical export
M0_A_APPROVED,,M0_CANONICAL_RESULTS.md,967ed9cef6134587fc90004b0cac1cf5796196387a36168cb272ee15e2975267,approved M0-A contract,entire canonical export
M0_A_APPROVED,,M0_CLAIM_EVIDENCE_MATRIX.csv,850cb15cd47dca7459c9f9c8d75452189f589efe0af14a523bed95d27e17679c,approved M0-A contract,entire canonical export
M0_A_APPROVED,,M0_FIGURE_TABLE_PLAN.md,1004260e8ba2bad40413c86abd26ebadf56760464c868f95aff4cebe8717a470,approved M0-A contract,entire canonical export
M0_A_APPROVED,,M0_MANUSCRIPT_ARCHITECTURE.md,51da899a9286020df9fb76021439607c668ae5081a4a6a8c5ba085f71f36ecd2,approved M0-A contract,entire canonical export
M0_A_APPROVED,,M0_SCIENTIFIC_CLAIM_FREEZE.md,a3709c089b9c3178ff65c07376183b2919f52d07ca89d54c78e6e896d409315d,approved M0-A contract,entire canonical export
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,,,final B1.1 global-controller evidence,provenance/immutable_inputs.json
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,b1_readjudication.json,42ea070ba96240eee162e027fafce196e0ba61b6bc9ca98d277c2ac0261070fd,B1.1 aggregation cross-check,validation/invariant_checks.json
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,combined_oracle_results.csv,cb1a9f48e15004c07f0564dff27bfeca8720c0face9ad6d30b98fd9573052a36,B1.1 completed finite oracle rows,b11_global/canonical_summary.json
