launch_index,scene,replicate,case_id
1,PERSISTENT_ONLY,1,FORMAL_PERSISTENT_ONLY_P01
2,PERSISTENT_ONLY,2,FORMAL_PERSISTENT_ONLY_P02
3,PERSISTENT_ONLY,3,FORMAL_PERSISTENT_ONLY_P03
4,PERSISTENT_ONLY,4,FORMAL_PERSISTENT_ONLY_P04
5,PERSISTENT_ONLY,5,FORMAL_PERSISTENT_ONLY_P05
6,PERSISTENT_ONLY,6,FORMAL_PERSISTENT_ONLY_P06
7,WEAK_C_PRESENT,1,FORMAL_WEAK_C_PRESENT_P01
8,WEAK_C_PRESENT,2,FORMAL_WEAK_C_PRESENT_P02
9,WEAK_C_PRESENT,3,FORMAL_WEAK_C_PRESENT_P03
10,WEAK_C_PRESENT,4,FORMAL_WEAK_C_PRESENT_P04
11,WEAK_C_PRESENT,5,FORMAL_WEAK_C_PRESENT_P05
12,WEAK_C_PRESENT,6,FORMAL_WEAK_C_PRESENT_P06
13,DETECTABLE_D_PRESENT_CONTROL,1,FORMAL_DETECTABLE_D_PRESENT_CONTROL_P01
14,DETECTABLE_D_PRESENT_CONTROL,2,FORMAL_DETECTABLE_D_PRESENT_CONTROL_P02
15,DETECTABLE_D_PRESENT_CONTROL,3,FORMAL_DETECTABLE_D_PRESENT_CONTROL_P03
